med_name,med_code,image_url,price,dosage_form,active_ingredient,unit,stock_quantity,is_active
HM Medical Aishodo NMN 18000+,MED-00001,https://trungtamthuoc.com/images/products/130x130/hm-medical-aishodo-nmn-18000-1-c1027.jpg,118869,Viên nang cứng,"Coenzym Q10 (Ubidecarenone), Acid hyaluronic, Nicotinamide mononucleotide (NMN)",hộp,160,true
"Deruthricin Gel 0,1%",MED-00002,https://trungtamthuoc.com/images/products/130x130/thuoc-deruthricin-gel-01-q6568.jpg,221599,Gel bôi da,Tyrothricin,hộp,131,true
Ino E Đỏ,MED-00003,https://trungtamthuoc.com/images/products/130x130/ino-e-do-1-r7574.jpg,247193,Viên nang,Vitamin E (Alpha Tocopherol),hộp,44,true
LifeWise 365 Bee+ Young,MED-00004,https://trungtamthuoc.com/images/products/130x130/lifewise-365-bee-young-1-e2223.jpg,117649,Bột pha uống,Resveratrol,hộp,106,true
Vital E Eurovit,MED-00005,https://trungtamthuoc.com/images/products/130x130/vital-e-eurovit-1-t7520.jpg,157994,Viên nang mềm,"Collagen, Vitamin E (Alpha Tocopherol)",hộp,108,true
Vilamin E400 Eurovit,MED-00006,https://trungtamthuoc.com/images/products/130x130/vilamin-e400-eurovit-1-c1481.jpg,145694,Viên nang,Vitamin E (Alpha Tocopherol),hộp,180,true
Skins L-Cystine Eurovit,MED-00007,https://trungtamthuoc.com/images/products/130x130/skins-l-cystine-eurovit-1-j3353.jpg,208844,Viên nang,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Vitamin C (Acid Ascorbic), Kẽm Oxyd (Zinc Oxide), L-Cystine",hộp,52,true
Collagen Peptis Eurovit,MED-00008,https://trungtamthuoc.com/images/products/130x130/collagen-peptis-eurovit-1-j4317.jpg,285465,Viên nén,"Acid Alpha Lipoic (ALA; Acid Thioctic), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Glutathione, Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Selen",hộp,134,true
Adalcrem Plus,MED-00009,https://trungtamthuoc.com/images/products/130x130/thuoc-adalcrem-plus-1-o5758.jpg,129073,Gel,"Adapalene, Clindamycin",hộp,186,true
Dầu tắm gội SK Permein 2in1,MED-00010,https://trungtamthuoc.com/images/products/130x130/dau-tam-goi-sk-permein-2in1-2-i3428.jpg,128248,Dầu tắm gội,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol)",hộp,34,true
SK Permein Spray,MED-00011,https://trungtamthuoc.com/images/products/130x130/sk-permein-spray-2-r7007.jpg,147387,Dạng xịt,Glycerol (Glycerin),hộp,170,true
Idravitae Urea 15% Cream,MED-00012,https://trungtamthuoc.com/images/products/130x130/idravitae-urea-15-cream-2-a0001.jpg,249700,Kem,"Glycerol (Glycerin), Urea, Acid Pantothenic (Vitamin B5), Vitamin E (Alpha Tocopherol), Acid Lactic, Allantoin, Cetearyl Alcohol",hộp,64,true
Xavia Skin,MED-00013,https://trungtamthuoc.com/images/products/130x130/xavia-skin-1-d1166.jpg,169176,Viên nang cứng,"Collagen, L-Glutathione, Vitamin C (Acid Ascorbic), Astaxanthin, Acid hyaluronic",hộp,29,true
Lolita Skin Whitening,MED-00014,https://trungtamthuoc.com/images/products/130x130/vien-uong-lolita-skin-whitening-1-k4703.jpg,297807,Viên nang mềm,"Collagen, L-Glutathione, Nano Curcumin, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Astaxanthin, Acid hyaluronic",hộp,11,true
Viên Sáng Da Yody Phương Anh,MED-00015,https://trungtamthuoc.com/images/products/130x130/vien-sang-da-yody-phuong-anh-1-i3037.jpg,222661,Viên nang cứng,"Collagen, L-Glutathione, Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,189,true
Calm Ampoule Serum Yu Cosmetics,MED-00016,https://trungtamthuoc.com/images/products/130x130/calm-ampoule-serum-yu-cosmetics-2-h3501.jpg,146967,Serum,,hộp,79,true
